FIXED TIME - 1 min
Hour;Total;Profit;Loss;WinRate
0;0;0;0;0.00
1;0;0;0;0.00
2;0;0;0;0.00
3;0;0;0;0.00
4;255;118;137;46.27
5;269;134;135;49.81
6;252;114;138;45.24
7;270;134;136;49.63
8;272;120;152;44.12
9;301;142;159;47.18
10;311;149;162;47.91
11;306;157;149;51.31
12;290;135;155;46.55
13;316;151;165;47.78
14;329;155;174;47.11
15;324;184;140;56.79
16;308;161;147;52.27
17;253;128;125;50.59
18;265;133;132;50.19
19;251;128;123;51.00
20;252;133;119;52.78
21;263;128;135;48.67
22;256;127;129;49.61
23;183;84;99;45.90
Total 1 min:;5526;2715;2811;49.13

FIXED TIME - 3 min
Hour;Total;Profit;Loss;WinRate
0;0;0;0;0.00
1;0;0;0;0.00
2;0;0;0;0.00
3;0;0;0;0.00
4;251;121;130;48.21
5;266;131;135;49.25
6;250;104;146;41.60
7;269;135;134;50.19
8;271;135;136;49.82
9;298;135;163;45.30
10;307;148;159;48.21
11;303;152;151;50.17
12;289;138;151;47.75
13;314;152;162;48.41
14;325;158;167;48.62
15;311;164;147;52.73
16;292;149;143;51.03
17;246;132;114;53.66
18;263;139;124;52.85
19;251;127;124;50.60
20;252;142;110;56.35
21;262;134;128;51.15
22;255;136;119;53.33
23;182;83;99;45.60
Total 3 min:;5457;2715;2742;49.75

FIXED TIME - 4 min
Hour;Total;Profit;Loss;WinRate
0;0;0;0;0.00
1;0;0;0;0.00
2;0;0;0;0.00
3;0;0;0;0.00
4;250;119;131;47.60
5;260;130;130;50.00
6;248;115;133;46.37
7;266;133;133;50.00
8;270;126;144;46.67
9;296;139;157;46.96
10;307;158;149;51.47
11;301;151;150;50.17
12;286;136;150;47.55
13;302;148;154;49.01
14;316;167;149;52.85
15;310;164;146;52.90
16;291;155;136;53.26
17;246;135;111;54.88
18;261;139;122;53.26
19;249;124;125;49.80
20;249;140;109;56.22
21;261;134;127;51.34
22;254;136;118;53.54
23;181;92;89;50.83
Total 4 min:;5404;2741;2663;50.72

FIXED TIME - 5 min
Hour;Total;Profit;Loss;WinRate
0;0;0;0;0.00
1;0;0;0;0.00
2;0;0;0;0.00
3;0;0;0;0.00
4;245;112;133;45.71
5;256;131;125;51.17
6;245;108;137;44.08
7;266;134;132;50.38
8;268;120;148;44.78
9;293;129;164;44.03
10;302;150;152;49.67
11;292;146;146;50.00
12;274;131;143;47.81
13;298;150;148;50.34
14;313;155;158;49.52
15;304;166;138;54.61
16;289;152;137;52.60
17;245;135;110;55.10
18;260;146;114;56.15
19;248;125;123;50.40
20;248;133;115;53.63
21;259;131;128;50.58
22;251;130;121;51.79
23;178;84;94;47.19
Total 5 min:;5334;2668;2666;50.02

FIXED TIME - 6 min
Hour;Total;Profit;Loss;WinRate
0;0;0;0;0.00
1;0;0;0;0.00
2;0;0;0;0.00
3;0;0;0;0.00
4;242;113;129;46.69
5;250;122;128;48.80
6;243;120;123;49.38
7;264;137;127;51.89
8;265;120;145;45.28
9;290;139;151;47.93
10;297;150;147;50.51
11;289;150;139;51.90
12;273;133;140;48.72
13;297;137;160;46.13
14;310;156;154;50.32
15;298;160;138;53.69
16;286;149;137;52.10
17;244;120;124;49.18
18;257;145;112;56.42
19;246;128;118;52.03
20;247;126;121;51.01
21;255;133;122;52.16
22;250;137;113;54.80
23;177;88;89;49.72
Total 6 min:;5280;2663;2617;50.44

FIXED TIME - 7 min
Hour;Total;Profit;Loss;WinRate
0;0;0;0;0.00
1;0;0;0;0.00
2;0;0;0;0.00
3;0;0;0;0.00
4;239;113;126;47.28
5;249;124;125;49.80
6;239;119;120;49.79
7;263;138;125;52.47
8;260;120;140;46.15
9;283;120;163;42.40
10;293;144;149;49.15
11;288;150;138;52.08
12;271;141;130;52.03
13;293;135;158;46.08
14;309;159;150;51.46
15;294;153;141;52.04
16;283;142;141;50.18
17;242;121;121;50.00
18;256;143;113;55.86
19;241;124;117;51.45
20;247;135;112;54.66
21;251;134;117;53.39
22;248;123;125;49.60
23;177;89;88;50.28
Total 7 min:;5226;2627;2599;50.27

FIXED TIME - 8 min
Hour;Total;Profit;Loss;WinRate
0;0;0;0;0.00
1;0;0;0;0.00
2;0;0;0;0.00
3;0;0;0;0.00
4;236;108;128;45.76
5;248;125;123;50.40
6;238;120;118;50.42
7;262;147;115;56.11
8;259;112;147;43.24
9;282;122;160;43.26
10;289;145;144;50.17
11;284;138;146;48.59
12;269;133;136;49.44
13;289;134;155;46.37
14;308;165;143;53.57
15;293;148;145;50.51
16;281;141;140;50.18
17;241;116;125;48.13
18;251;133;118;52.99
19;240;120;120;50.00
20;245;130;115;53.06
21;251;138;113;54.98
22;246;125;121;50.81
23;176;85;91;48.30
Total 8 min:;5188;2585;2603;49.83

FIXED TIME - 9 min
Hour;Total;Profit;Loss;WinRate
0;0;0;0;0.00
1;0;0;0;0.00
2;0;0;0;0.00
3;0;0;0;0.00
4;234;117;117;50.00
5;247;123;124;49.80
6;236;115;121;48.73
7;257;145;112;56.42
8;254;117;137;46.06
9;278;122;156;43.88
10;286;145;141;50.70
11;283;142;141;50.18
12;265;145;120;54.72
13;289;145;144;50.17
14;308;162;146;52.60
15;291;147;144;50.52
16;279;148;131;53.05
17;241;113;128;46.89
18;247;133;114;53.85
19;239;121;118;50.63
20;245;137;108;55.92
21;250;135;115;54.00
22;245;137;108;55.92
23;174;79;95;45.40
Total 9 min:;5148;2628;2520;51.05

FIXED TIME - 10 min
Hour;Total;Profit;Loss;WinRate
0;0;0;0;0.00
1;0;0;0;0.00
2;0;0;0;0.00
3;0;0;0;0.00
4;234;116;118;49.57
5;247;119;128;48.18
6;234;116;118;49.57
7;254;139;115;54.72
8;251;123;128;49.00
9;274;119;155;43.43
10;283;149;134;52.65
11;283;143;140;50.53
